age,sex,NHANES,race_f,type,n,Mean,SD,LB,25%,50%,75%,UB,Rhat,n.eff,Parameters,prev_fit,LB_scl,UB_scl,NHANES_year
88,Male,1988-1994,Other Hispanic,Force of Infection (λ),817,0.00421840934747222,0.00199787216560571,0.00196006395686552,0.00247310144812276,0.00310099871800976,0.00593625285557613,0.0080950171805384,6.4458120665587,2,"lhat[89,1,1,3]",0.421840934747222,0.196006395686552,0.809501718053841,1991
89,Male,1988-1994,Other Hispanic,Force of Infection (λ),818,0.00408324898699451,0.00195564969833267,0.00187782108206908,0.00237841906693976,0.00298555777020053,0.005755918196922,0.0078966823609404,6.40081285289742,2,"lhat[90,1,1,3]",0.408324898699451,0.187782108206908,0.78966823609404,1991
90,Male,1988-1994,Other Hispanic,Force of Infection (λ),819,0.00395192654362898,0.00191370778473413,0.00179882128818107,0.00228739012445439,0.00287408819193305,0.00557982043801951,0.00770169211708901,6.35716182902128,2,"lhat[91,1,1,3]",0.395192654362898,0.179882128818107,0.770169211708901,1991
0,Female,1988-1994,Other Hispanic,Force of Infection (λ),820,0.0232962819670494,0.000862216727149719,0.021678484156067,0.0227248033289086,0.0232187472237416,0.0238058359795659,0.0253074624218229,1.11529020458034,76,"lhat[1,2,1,3]",2.32962819670494,2.1678484156067,2.53074624218229,1991
1,Female,1988-1994,Other Hispanic,Force of Infection (λ),821,0.0231983271285411,0.000854688929098182,0.0216356905929494,0.0226180861750569,0.0231155271172914,0.0237008010703925,0.0252198251582696,1.13322262030903,40,"lhat[2,2,1,3]",2.31983271285411,2.16356905929494,2.52198251582696,1991
2,Female,1988-1994,Other Hispanic,Force of Infection (λ),822,0.0230985598822727,0.000848716317456906,0.0215937112244063,0.0225118141543105,0.0230132986664668,0.0236123146281359,0.0251302648115062,1.16054279852249,25,"lhat[3,2,1,3]",2.30985598822727,2.15937112244063,2.51302648115062,1991
3,Female,1988-1994,Other Hispanic,Force of Infection (λ),823,0.022996969843515,0.000844411073520559,0.0215183391435801,0.022396867568181,0.0229038004623349,0.0235161463318476,0.0250387555786749,1.2000120954675,17,"lhat[4,2,1,3]",2.2996969843515,2.15183391435801,2.50387555786749,1991
4,Female,1988-1994,Other Hispanic,Force of Infection (λ),824,0.0228935476654346,0.000841877957809051,0.0214599720291323,0.0222871987338498,0.0227822655803652,0.0234313547258393,0.0249367168553618,1.25425261332207,12,"lhat[5,2,1,3]",2.28935476654346,2.14599720291323,2.49367168553618,1991
5,Female,1988-1994,Other Hispanic,Force of Infection (λ),825,0.0227882850841544,0.000841211708652517,0.0214050583754444,0.0221754789414525,0.0226656629913332,0.0233343433056027,0.0248296397251359,1.32516085243224,9,"lhat[6,2,1,3]",2.27882850841544,2.14050583754444,2.48296397251359,1991
6,Female,1988-1994,Other Hispanic,Force of Infection (λ),826,0.0226811749633374,0.000842494562325855,0.0213412794511944,0.0220594200793839,0.0225473504219991,0.0232472251631887,0.0247305893307567,1.41353205240546,8,"lhat[7,2,1,3]",2.26811749633374,2.13412794511944,2.47305893307567,1991
7,Female,1988-1994,Other Hispanic,Force of Infection (λ),827,0.0225722113381474,0.000845794052923954,0.0212739850778306,0.021933493831213,0.0224320026827379,0.0231485764417626,0.0246318206120348,1.51909719950169,6,"lhat[8,2,1,3]",2.25722113381474,2.12739850778306,2.46318206120348,1991
8,Female,1988-1994,Other Hispanic,Force of Infection (λ),828,0.0224613894584341,0.000851161242425218,0.0211924952522376,0.0218101288068826,0.0223205334350721,0.0230413335255214,0.0245339717648746,1.64090809712845,5,"lhat[9,2,1,3]",2.24613894584341,2.11924952522376,2.45339717648746,1991
9,Female,1988-1994,Other Hispanic,Force of Infection (λ),829,0.0223487058309884,0.000858629504664171,0.0210886763941816,0.0216842724752757,0.022194434798507,0.0229482895683171,0.0244340959315605,1.77782194811119,5,"lhat[10,2,1,3]",2.23487058309884,2.10886763941816,2.44340959315605,1991
